CALENDAR_DATE,DAY,CALENDAR_MTH_DAY_NBR,CALENDAR_MTH,CALENDAR_YEAR,HOLIDAY,LAST_YEAR_DAILY_VISITORS
2022-11-01,TUESDAY,1,11,2022,0,42
2022-11-02,WEDNESDAY,2,11,2022,0,50
2022-11-03,THURSDAY,3,11,2022,0,42
2022-11-04,FRIDAY,4,11,2022,0,43
2022-11-05,SATURDAY,5,11,2022,1,41
2022-11-06,SUNDAY,6,11,2022,1,80
2022-11-07,MONDAY,7,11,2022,0,100
2022-11-08,TUESDAY,8,11,2022,0,109
2022-11-09,WEDNESDAY,9,11,2022,0,40
2022-11-10,THURSDAY,10,11,2022,0,40
2022-11-11,FRIDAY,11,11,2022,1,35
2022-11-12,SATURDAY,12,11,2022,1,42
2022-11-13,SUNDAY,13,11,2022,1,84
2022-11-14,MONDAY,14,11,2022,0,98
2022-11-15,TUESDAY,15,11,2022,0,109
2022-11-16,WEDNESDAY,16,11,2022,0,50
2022-11-17,THURSDAY,17,11,2022,0,43
2022-11-18,FRIDAY,18,11,2022,0,42
2022-11-19,SATURDAY,19,11,2022,1,42
2022-11-20,SUNDAY,20,11,2022,1,82
2022-11-21,MONDAY,21,11,2022,0,102
2022-11-22,TUESDAY,22,11,2022,0,111
2022-11-23,WEDNESDAY,23,11,2022,0,50
2022-11-24,THURSDAY,24,11,2022,1,37
2022-11-25,FRIDAY,25,11,2022,0,38
2022-11-26,SATURDAY,26,11,2022,1,47
2022-11-27,SUNDAY,27,11,2022,1,82
2022-11-28,MONDAY,28,11,2022,0,100
